New_Filename,Original_Source
Human_079.txt,"Journal of English for Academic Purposes - Piracy, playing the system, or poor policies Perspectives on plagiarism in Thailand"
Human_080.txt,Journal of English for Academic Purposes - Profiling figure legends in scientific research articles A corpus-driven approach
Human_081.txt,Journal of English for Academic Purposes - Reconceptualising the notion of finding information How undergraduate students construct information as they read-to-write in an academic writing class
Human_082.txt,Journal of English for Academic Purposes - Stance and engagement in 3MT presentations How students communicate disciplinary knowledge to a wide audience
Human_083.txt,Journal of English for Academic Purposes - Student perceptions of critical thinking in EMI programs at Japanese universities A Q-methodology study
Human_084.txt,Journal of English for Academic Purposes - Syntactic complexity in English as a lingua franca academic writing
Human_085.txt,Journal of English for Academic Purposes - Systemic Functional Linguistics for the EGAP module Revisiting the common core
Human_086.txt,Journal of English for Academic Purposes - Teaching lecture comprehension skills through OpenCourseWare video-recorded lectures A research-informed classroom application
Human_087.txt,Journal of English for Academic Purposes - The bottom line Are idioms used in English academic speech and writing
Human_088.txt,Journal of English for Academic Purposes - When a bug is not a bug An introduction to the computer science academic vocabulary list
Human_089.txt,Journal of English for Academic Purposes - Who's afraid of phrasal verbs The use of phrasal verbs in expert academic writing in the discipline of linguistics
Human_090.txt,Journal of English for Academic Purposes - “Think about how fascinating this is” Engagement in academic blogs across disciplines
Human_091.txt,Journal of Second Language Writing - Are two heads really better than one A meta-analysis of the L2 learning benefits of collaborative writing
Human_092.txt,Journal of Second Language Writing - Assessing digital multimodal composing in second language writing Towards a process-based model
Human_093.txt,"Journal of Second Language Writing - Challenging the connection between task perceptions and language use in L2 writing Genre, cognitive task complexity, and linguistic complexity"
Human_094.txt,Journal of Second Language Writing - Collaborative writing in a Chinese as a foreign language classroom Learners’ perceptions and motivations
Human_095.txt,Journal of Second Language Writing - Computer-mediated collaborative writing in L2 classrooms A systematic review
Human_096.txt,Journal of Second Language Writing - Effect of strategy instruction on EFL students’ video-mediated integrated writing performance
Human_097.txt,Journal of Second Language Writing - Elements of doctoral apprenticeship Community feedback and the acquisition of writing expertise
Human_098.txt,Journal of Second Language Writing - Emergence of multiple groups of learners with different writing-development trajectories in classroom Growth mixture modeling
Human_099.txt,Journal of Second Language Writing - Empowering learners in the secondforeign language classroom Can self-regulated learning strategies-based writing instruction make a difference
Human_100.txt,Journal of Second Language Writing - English language teaching of attitude and emotion in digital multimodal composition
Human_101.txt,Journal of Second Language Writing - English writing skills of students in upper secondary education Results from an empirical study in Switzerland and Germany
Human_102.txt,"Journal of Second Language Writing - Exploring the relationships among cognitive and linguistic resources, writing processes, and written products in second language writing"
Human_103.txt,Journal of Second Language Writing - Feedback-giving practice for L2 writing teachers Friend or foe
Human_104.txt,"Journal of Second Language Writing - Future selves, enjoyment and anxiety as predictors of L2 writing achievement"
Human_105.txt,Journal of Second Language Writing - Investigating L2 writing through tutor-tutee interactions and revisions A case study of a multilingual writer in EAP tutorials
Human_106.txt,Journal of Second Language Writing - Multimodal assignments in higher education Implications for multimodal writing tasks for L2 writers
Human_107.txt,Journal of Second Language Writing - Relationship between second language English writing self-efficacy and achievement A meta-regression analysis
Human_108.txt,"Journal of Second Language Writing - Self-regulation and personality among L2 writers Integrating trait, state, and learner perspectives"
Human_109.txt,Journal of Second Language Writing - Syntactic and lexical features of adolescent L2 students’ academic writing
Human_110.txt,Journal of Second Language Writing - Teachers’ attempts at focused written corrective feedback in situ
Human_111.txt,Journal of Second Language Writing - The effects of working memory and L2 proficiency on L2 writing
Human_112.txt,Journal of Second Language Writing - The longitudinal development of second language writers’ metacognitive genre awareness
Human_113.txt,Journal of Second Language Writing - The potential power of play in second language academic writing
Human_114.txt,Journal of Second Language Writing - Transpacific telecollaboration and L2 writing Influences of interpersonal dynamics on peer feedback and revision uptake
Human_115.txt,Journal of Second Language Writing - Understanding L2 writing teacher expertise
Human_116.txt,Journal of Second Language Writing - Understanding Macau novice secondary teachers’ beliefs and practices of EFL writing instruction A complexity theory perspective
Human_117.txt,Journal of Second Language Writing - Variability as predictor in L2 writing proficiency
Human_118.txt,Journal of Second Language Writing - Verb argument construction complexity indices and L2 writing quality Effects of writing tasks and prompts
Human_119.txt,Journal of Second Language Writing - Video and text feedback on ESL writing Understanding attitude and negotiating relationships
Human_120.txt,Journal of Second Language Writing - What works may hurt The negative side of feedback in second language writing
Human_121.txt,System - A comparative study of the effects of L1 and L2 prewriting discussions on L2 writing performance
Human_122.txt,System - A diachronic analysis of explicit definitions and implicit conceptualizations of language learning strategies
Human_123.txt,System - A latent profile analysis of EFL learners’ self-efficacy Associations with academic emotions and language proficiency
Human_124.txt,System - A study of Chinese EFL learners’ problems with stress acquisition
Human_125.txt,System - Collage of confusion An analysis of one university’s multiple plagiarism policies
Human_126.txt,System - Combining computer-mediated communication with data-driven instruction EFL learners’ pragmatic development of compliment responses
Human_127.txt,System - Conversation Cloud A videoconferencing learning ecology for Thai undergraduate EFL learners
Human_128.txt,System - Effects of an Instant Response System integrated learning activity on EFL students’ learning achievement and perceptions
Human_129.txt,"System - Epistemic agency, a double-stimulation, and video-based learning A formative intervention study in language teacher education"
Human_130.txt,System - Explicit instruction for the development of L2 Spanish pragmatic ability during study abroad
Human_131.txt,System - Exploring students’ demotivation and remotivation in learning English
Human_132.txt,System - Hong Kong secondary students’ self-regulated learning strategy use and English writing Influences of motivational beliefs
Human_133.txt,"System - Incidental lexical mining in task repetition The role of input, input repetition and individual differences"
Human_134.txt,System - Integrativeness in Malaysia The socio-educational model in a modern Asian context
Human_135.txt,System - Pre-service language teacher wellbeing as a complex dynamic system
Human_136.txt,System - Predicting the emotional labor strategies of Chinese English Foreign Language teachers
Human_137.txt,System - Profiling the motivational characteristics of Greek university students
Human_138.txt,System - Protecting and enhancing willingness to communicate with idiodynamic peer-peer strategy sharing
Human_139.txt,System - Research trends in ‘trans-’ studies on writing A bibliometric analysis
Human_140.txt,System - Self-regulated listening of students at transition from high school to an English medium instruction (EMI) transnational university in China
Human_141.txt,System - Students’ academic language-related challenges in English Medium Instruction The role of English proficiency and language gain
Human_142.txt,System - Task-related focus-on-forms foreign language vocabulary development Focus on spoken form and word parts
Human_143.txt,System - The effect of spacing on incidental and deliberate learning of L2 collocations
Human_144.txt,System - The effect of task constraints on idea generation in creative word-formation group work for beginner-level German learners
Human_145.txt,System - The effect of visuospatial designing elements of zoomable user interfaces on second language vocabulary acquisition
Human_146.txt,System - The effects of proficiency and textual enhancement technique on noticing
Human_147.txt,System - The impact of a professional development program on EFL teachers’ beliefs about corrective feedback
Human_148.txt,System - The predictive effects of classroom environment and trait emotional intelligence on Foreign Language Enjoyment and Anxiety
Human_149.txt,"System - When to conduct a vocabulary quiz, before the review or after the review"
Human_150.txt,System - Why so nervous Revisiting the sources of speech anxiety in Chinese as a second language
